# Step | Energy (eV) | Status
 247 |  -610.551268 | Accepted
 248 |  -610.548175 | Accepted
 249 |  -610.549981 | Accepted
 250 |  -610.548571 | Accepted
 251 |  -610.549356 | Accepted
 253 |  -610.545168 | Accepted
 254 |  -610.548577 | Accepted
 256 |  -610.549632 | Accepted
 257 |  -610.547756 | Accepted
 258 |  -610.550753 | Accepted
 259 |  -610.546723 | Accepted
 261 |  -610.550637 | Accepted
 262 |  -610.542713 | Accepted
 264 |  -610.550343 | Accepted
 265 |  -610.547613 | Accepted
 266 |  -610.544145 | Accepted
 268 |  -610.549898 | Accepted
 271 |  -610.551439 | Accepted
 273 |  -610.549959 | Accepted
 274 |  -610.559498 | Accepted
 275 |  -610.561208 | Accepted
 276 |  -610.545307 | Accepted
 277 |  -610.564195 | Accepted
 279 |  -610.559030 | Accepted
 282 |  -610.550848 | Accepted
 283 |  -610.558396 | Accepted
 284 |  -610.557541 | Accepted
 285 |  -610.564981 | Accepted
 286 |  -610.559473 | Accepted
 288 |  -610.556784 | Accepted
 289 |  -610.562045 | Accepted
 291 |  -610.544205 | Accepted
 293 |  -610.542399 | Accepted
 294 |  -610.543168 | Accepted
 295 |  -610.541937 | Accepted
 296 |  -610.561569 | Accepted
 297 |  -610.562765 | Accepted
 298 |  -610.563120 | Accepted
 299 |  -610.564409 | Accepted
 301 |  -610.564539 | Accepted
 302 |  -610.564075 | Accepted
 305 |  -610.559267 | Accepted
 306 |  -610.956622 | Accepted
 307 |  -610.995390 | Accepted
 310 |  -610.998268 | Accepted
 311 |  -610.996625 | Accepted
 312 |  -610.997114 | Accepted
 313 |  -610.994076 | Accepted
 314 |  -610.979243 | Accepted
 315 |  -610.990785 | Accepted
 316 |  -611.048751 | Accepted
 317 |  -611.052922 | Accepted
 318 |  -611.050561 | Accepted
 319 |  -611.051324 | Accepted
 320 |  -611.056507 | Accepted
 321 |  -611.056837 | Accepted
 323 |  -611.058821 | Accepted
 324 |  -611.051943 | Accepted
 325 |  -611.051259 | Accepted
 326 |  -611.179536 | Accepted
 327 |  -611.184113 | Accepted
 328 |  -611.183655 | Accepted
